date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
6-Mar-20,"Governor Ivey announced the formationof a Coronavirus (COVID-19) Task Force of cabinet and state agency officials, as well as disease specialists in an abundance of caution.",,,,,,,,,,,Y
10-Mar-20,"Governor Iveysent a memo to state agency headsdirecting state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus.",,,,,,,,,,,Y
13-Mar-20,Governor Ivey issued a state of emergency for Alabama.,,,,,,,Y,,,,Y
14-Mar-20," Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",Y,,,,,,,,,,
15-Mar-20, Governor Ivey authorized directors of all state agencies to put different work schedules into place for state employees.,,,,,,,,,,,Y
15-Mar-20," The Governor authorized directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",,,,,,,,,,Y,Y
16-Mar-20, The Alabama Department of Labor announced that state employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.,,,,,,,,,,,Y
17-Mar-20, The Governor emphasized measures taken by financial regulators to protect the financial system within the state.,,,,,,,,,,,Y
17-Mar-20," The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week.",Y,,,,,,,,,,
18-Mar-20, The Governor announced the primary runoff election will be delayed to July 14.,,,,,,,,,,,Y
19-Mar-20," The Governor issued a statewide health order. The order includes the following directives through April 5.

All gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited.


Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink.


All beaches are closed.


Preschools and childcare centers are closed.


All Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors and nonessential health care personnel, except for certain compassionate care situations such as maternity and end-of-life.


All elective dental and medical procedures shall be delayed.

",Y,,,,Y,,,,,,
20-Mar-20," The Governor issued an updated statewide public health order prohibiting all non-work related gatherings of 25 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons.

The updated order also expands the availability of child day care in the state as long as certain guidelines are followed, and includes clarifying language regarding senior citizen centers and schools.

",Y,,,,,,,,,,
20-Mar-20," The Governor issued the second supplemental state of emergency proclamation, instructed appropriate agencies to take the necessary steps and issue the appropriate documents to expedite the movement of vehicles transporting emergency equipment, services, and supplies.",,,,,,,Y,,,,Y
20-Mar-20, The Governor issued authorization to the Adjutant General with the Alabama National Guard to activate up to 100 guardsmen.,,,,,,,,,,,Y
21-Mar-20, The Governor announced small businesses are eligible for assistance under the U.S. Small Business Administrations Economic Injury Disaster Loan (EIDL) program.,,,,,,,,,,,Y
23-Mar-20," The Governor announced that the state income tax filing due date is extended from April 15, 2020, to July 15, 2020.",,,,,,,,,,,Y
23-Mar-20,- The Centers for Medicare & Medicaid Services (CMS) approved Alabamas request for a Section 1135 Medicaid waiver. The approved waiver enables Alabama to provide flexibilities in Medicaid provider screening and enrollment and forgo certain pre-admission screening and annual resident review assessments in the states Medicaid program.,,,,,,,,,,,Y
26-Mar-20," The Governor issued a memo on flexibilities for unemployment insurance claims. The state is waiving the work search, wait week, and good cause provisions and waiving all charges against employers who file partial unemployment compensation claims on behalf of their employees, until further notice.",,,,,,,,,,,Y
26-Mar-20," The Governor announced the fourth supplemental State of Emergency with the following provisions:

Requires all public K-12 schools to implement a plan to complete the 2019-2020 school year using alternate methods of instruction;


Extends the licensure period applicable to emergency medical services personnel and provides services;


Allows notaries to notarize signatures through videoconferences;


Allows state agencies to create and retain electronic records and send and accept electronic signatures;


Authorizes law enforcement officers to issue summons and complaint in lieu of custodial arrest for any violation or misdemeanor in certain circumstances; and


Permits the county or municipality to set a fee schedule for the summons and complaint that is concurrent with the bail fee and court costs associated with a custodial arrest for the same crime.

",,,,,,,Y,,,,Y
27-Mar-20," The State Health Officer announced an order with the following provisions:

Suspending all non-work-related gatherings of 10 persons or more, or non-work-related gatherings of any size that cannot maintain a consistent six-foot distance between persons;
Suspending all dental, medical, or surgical procedures with emergency medical exception;
Prohibiting visitors to all Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities); and
Closing in-person instruction or classes at all schools, public and private

",Y,,,,,,,,,,
31-Mar-20," The U.S. Department of Agriculture (USDA) has approved the Alabama Department of Education (ALSDE), Child Nutrition Programs waiver request for the restrictions on site eligibility requirements.",,,,,,,,,,,Y
2-Apr-20, The Governor issued their fifth supplemental state of emergency to adopt measures to expand the capacity of the health care workforce.,,,,,,,Y,,,,Y
3-Apr-20," The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",Y,,,,,,,,,,
3-Apr-20, The Governorissuedtheir sixth supplemental state of emergency to cease enforcement of any order that would result in the displacement of a person from their place of residence. ,,,,,,,Y,,,,Y
3-Apr-20, The Governor announced the Office of Volunteer Services in partnership with the Alabama Department of Public Health (ADPH) to launch ReadyOp. The program will collect volunteers and potential reserve staffs information and send out alerts if the help of qualified retired health professionals and medical students and related professionals is needed to support efforts. ,,,,,,,,,,,Y
6-Apr-20," The Governor announced the creation of altogetheralabama.org, a hub for information about the states response.",,,,,,,,,,,Y
7-Apr-20," The Governor announced the Ribbons of Hope campaign to encourage the people of Alabama to tie ribbons around a tree or pole in their front yard as a symbol to remind everyone to pray for medical personnel, first responders, and for one another.",,,,,,,,,,,Y
7-Apr-20,  The Governor announced the launch of a job-matching site targeted at those who have lost their job as a result of COVID-19.,,,,,,,,,,,Y
9-Apr-20," The Alabama Department of Labor announced they have begun paying the Federal Pandemic Unemployment Compensation (FPUC) benefit that was established with the passing of the federal CARES Act. ADOL paid $40,060,495 in FPUC benefits to 60,848 claimants as of April 8, 2020.",,,,,,,,,,,Y
13-Apr-20," The Governor issued a supplemental emergency proclamation, which directs the Board of Pardons and Paroles to resume parole hearings.",,,,,,,Y,,,,Y
8-Apr-20," The Governor awarded $580,000 to give a lift to innovation and entrepreneurship to help support the Alabama Launchpad, a program that encourages entrepreneurship in the state and nurtures new businesses. ",,,,,,,,,,,Y
16-Apr-20," The Governor announced the launch of new COVID-19 drive-thru testing sites in Adamsville and Montgomery. The testing sites are supported by Walmart and Quest Diagnostics and will be available to anyone who may be exhibiting symptoms, as well as all health care workers and first responders.",,,,Y,,,,,,,Y
17-Apr-20, The Alabama Coronavirus Task Force announced recommendations to the Governor regrading reopening the state with a focus on small business. ,,,,,,,,,,,Y
28-Apr-20," The Governor issued a Safer at Home order to re-open portions of the Alabama economy on Thursday, April 30th at 5:00 PM. The order will require strict sanitation and social distancing guidelines and will expire on Friday, May 15, 2020 at 5:00 PM.",Y,,,,,,,,,Y,
8-May-20," The Governor issued an amended Safer at Home Order. The order which includes an expanded list of items including non-work-related gatherings, retailers, athletic facilities and others to reopen will be effective Monday, May 11, 2020 and will expire on Friday, May 22, 2020 at 5:00 PM.",Y,,,,,,,,,,
8-May-20, The Governor issued their eighth Supplemental State of Emergency providing liability protections for businesses and health care providers among other provisions.,,,,,,,Y,,,,Y
8-May-20," The Governor issued their ninth Supplemental State of Emergency providing operating loans and lines of credit financing to rural electric cooperatives, guidance on the administration of the July 14, 2020 Runoff election, protection against evictions based on nonpayment, and extension of the State of Emergency for another sixty days.",,,,,,,Y,,,,Y
8-May-20, The Centers for Medicare and Medicaid Services (CMS) approved Alabamas second request for a Medicaid 1135 waiver. The waiver allows Alabama to provide flexibilities in Medicaid provider screening and enrollment and to lift prior authorization requirements.,,,,,,,,,,,Y
18-May-20," The Alabama Legislature approved Senate Bill 161 after the governor issued an executive amendment outlining state expenditures for the Coronavirus, Aid, Relief, and Economic Security (CARES) Act.",,,,,,,,,,,Y
20-May-20," The Governor announced that the state will receive $3,299,821 in Coronavirus Aid, Relief, and Economic Security Act (CARES Act) funding to provide economic relief to qualifying applicants in the states seafood industry.",,,,,,,,,,,Y
21-May-20," The Governor issued an amended Safer at Home Order to be applied Statewide. The order includes an expanded list of items to reopen such as athletic activities, theaters, childcare facilities, and summer camps. The order is effective Friday, May 22, 2020 at 5:00 p.m. and will expire on Friday, July 3, 2020 at 5:00 p.m.",Y,,,,,,,,,,
21-May-20, The Governor announced Alabama Department of Public Health is partnering with Apple and Google to use their contact tracing app to track those who may have been exposed using Bluetooth signals.,,,,,,,,,,,Y
5-Jun-20, The Governor announced that 20 community action agencies would be awarded Community Service Block Grants valued at more than $17 million. The funds will be used to provide relief for Alabamians who faced unemployment and economic difficulties.,,,,,,,,,,,Y
9-Jun-20, The Governor issued the eleventh supplemental State of Emergency for the pandemic.,,,,,,,Y,,,,
9-Jun-20, The Alabama Department of Revenue extended the time for obtaining motor vehicle registrations and paying property taxes on vehicles and associated penalty charges.,,,,,,,,,,,Y